Algoritmo,Predictor,BlockSize,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
LZW_P2_B256,2,256,65.86,70.14,9.588,5.988,S2-16D_V2_002011_20260728,NDVI
LZW_P2_B512,2,512,65.32,70.38,9.312,5.006,S2-16D_V2_002011_20260728,NDVI
RAW_SemComp,0,256,220.51,0.0,0.0,0.421,S2-16D_V2_001014_20260728,NBR
LZW_P1_B128,1,128,45.76,79.25,5.72,3.473,S2-16D_V2_001014_20260728,NBR
LZW_P1_B256,1,256,44.75,79.71,4.367,1.565,S2-16D_V2_001014_20260728,NBR
LZW_P1_B512,1,512,44.51,79.82,5.802,2.572,S2-16D_V2_001014_20260728,NBR
LZW_P2_B128,2,128,42.07,80.92,10.094,4.923,S2-16D_V2_001014_20260728,NBR
LZW_P2_B256,2,256,40.7,81.54,9.354,1.07,S2-16D_V2_001014_20260728,NBR
LZW_P2_B512,2,512,40.08,81.82,2.672,1.483,S2-16D_V2_001014_20260728,NBR
RAW_SemComp,0,256,220.51,0.0,0.0,2.224,S2-16D_V2_001014_20260728,B06
LZW_P1_B128,1,128,44.32,79.9,2.284,0.62,S2-16D_V2_001014_20260728,B06
LZW_P1_B256,1,256,43.67,80.2,2.503,1.576,S2-16D_V2_001014_20260728,B06
LZW_P1_B512,1,512,43.54,80.25,3.592,2.708,S2-16D_V2_001014_20260728,B06
LZW_P2_B128,2,128,40.94,81.44,4.096,1.75,S2-16D_V2_001014_20260728,B06
LZW_P2_B256,2,256,40.11,81.81,4.016,1.344,S2-16D_V2_001014_20260728,B06
LZW_P2_B512,2,512,39.76,81.97,4.188,4.582,S2-16D_V2_001014_20260728,B06
RAW_SemComp,0,256,220.51,0.0,0.0,3.093,S2-16D_V2_002012_20260728,B12
LZW_P1_B128,1,128,135.58,38.52,12.704,6.229,S2-16D_V2_002012_20260728,B12
LZW_P1_B256,1,256,136.44,38.13,12.777,4.959,S2-16D_V2_002012_20260728,B12
LZW_P1_B512,1,512,137.78,37.52,7.304,1.177,S2-16D_V2_002012_20260728,B12
LZW_P2_B128,2,128,115.83,47.47,4.808,3.396,S2-16D_V2_002012_20260728,B12
LZW_P2_B256,2,256,114.93,47.88,5.173,2.914,S2-16D_V2_002012_20260728,B12
LZW_P2_B512,2,512,114.78,47.95,9.674,4.997,S2-16D_V2_002012_20260728,B12
RAW_SemComp,0,256,220.51,0.0,0.0,0.817,S2-16D_V2_002011_20260728,B03
LZW_P1_B128,1,128,62.86,71.49,5.874,6.009,S2-16D_V2_002011_20260728,B03
LZW_P1_B256,1,256,62.8,71.52,5.411,1.583,S2-16D_V2_002011_20260728,B03
LZW_P1_B512,1,512,63.14,71.37,8.21,4.403,S2-16D_V2_002011_20260728,B03
LZW_P2_B128,2,128,57.42,73.96,6.309,3.987,S2-16D_V2_002011_20260728,B03
LZW_P2_B256,2,256,56.73,74.28,8.704,4.388,S2-16D_V2_002011_20260728,B03
LZW_P2_B512,2,512,56.48,74.39,9.01,2.434,S2-16D_V2_002011_20260728,B03
RAW_SemComp,0,256,220.51,0.0,0.0,3.265,S2-16D_V2_001014_20260728,B07
