Algoritmo,Level,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
ZSTD_L09_P2,9,2,42.12,80.9,2.537,0.634,S2-16D_V2_002011_20260728,B12
ZSTD_L11_P2,11,2,42.12,80.9,3.807,0.637,S2-16D_V2_002011_20260728,B12
ZSTD_L13_P2,13,2,42.12,80.9,6.908,0.711,S2-16D_V2_002011_20260728,B12
ZSTD_L15_P2,15,2,42.12,80.9,7.495,0.679,S2-16D_V2_002011_20260728,B12
RAW_SemComp,0,0,220.51,0.0,0.0,0.72,S2-16D_V2_002012_20260728,B02
ZSTD_L01_P2,1,2,110.68,49.81,1.982,0.639,S2-16D_V2_002012_20260728,B02
ZSTD_L03_P2,3,2,101.48,53.98,2.451,0.85,S2-16D_V2_002012_20260728,B02
ZSTD_L05_P2,5,2,100.91,54.24,3.343,0.822,S2-16D_V2_002012_20260728,B02
ZSTD_L07_P2,7,2,100.88,54.25,3.956,0.845,S2-16D_V2_002012_20260728,B02
ZSTD_L09_P2,9,2,100.84,54.27,9.867,1.106,S2-16D_V2_002012_20260728,B02
ZSTD_L11_P2,11,2,100.84,54.27,10.11,0.853,S2-16D_V2_002012_20260728,B02
ZSTD_L13_P2,13,2,100.84,54.27,23.363,0.899,S2-16D_V2_002012_20260728,B02
ZSTD_L15_P2,15,2,100.84,54.27,23.638,1.436,S2-16D_V2_002012_20260728,B02
RAW_SemComp,0,0,220.51,0.0,0.0,0.605,S2-16D_V2_001014_20260728,NDVI
ZSTD_L01_P2,1,2,35.66,83.83,0.432,0.569,S2-16D_V2_001014_20260728,NDVI
ZSTD_L03_P2,3,2,35.68,83.82,0.653,0.921,S2-16D_V2_001014_20260728,NDVI
ZSTD_L05_P2,5,2,35.62,83.84,1.928,0.564,S2-16D_V2_001014_20260728,NDVI
ZSTD_L07_P2,7,2,35.62,83.85,0.854,0.49,S2-16D_V2_001014_20260728,NDVI
ZSTD_L09_P2,9,2,35.61,83.85,1.015,0.636,S2-16D_V2_001014_20260728,NDVI
ZSTD_L11_P2,11,2,35.61,83.85,1.56,0.564,S2-16D_V2_001014_20260728,NDVI
ZSTD_L13_P2,13,2,35.5,83.9,4.244,0.585,S2-16D_V2_001014_20260728,NDVI
ZSTD_L15_P2,15,2,35.5,83.9,5.127,0.549,S2-16D_V2_001014_20260728,NDVI
RAW_SemComp,0,0,220.51,0.0,0.0,0.471,S2-16D_V2_002011_20260728,B07
ZSTD_L01_P2,1,2,52.55,76.17,0.458,1.292,S2-16D_V2_002011_20260728,B07
ZSTD_L03_P2,3,2,51.82,76.5,3.454,0.669,S2-16D_V2_002011_20260728,B07
ZSTD_L05_P2,5,2,51.14,76.81,1.556,0.603,S2-16D_V2_002011_20260728,B07
ZSTD_L07_P2,7,2,51.12,76.82,1.787,0.709,S2-16D_V2_002011_20260728,B07
ZSTD_L09_P2,9,2,51.12,76.82,2.262,0.692,S2-16D_V2_002011_20260728,B07
ZSTD_L11_P2,11,2,51.12,76.82,3.715,0.673,S2-16D_V2_002011_20260728,B07
ZSTD_L13_P2,13,2,51.03,76.86,6.337,0.681,S2-16D_V2_002011_20260728,B07
ZSTD_L15_P2,15,2,51.03,76.86,7.578,0.669,S2-16D_V2_002011_20260728,B07
RAW_SemComp,0,0,220.51,0.0,0.0,0.511,S2-16D_V2_002011_20260728,NDVI
ZSTD_L01_P2,1,2,54.71,75.19,4.39,1.327,S2-16D_V2_002011_20260728,NDVI
ZSTD_L03_P2,3,2,54.73,75.18,0.525,0.574,S2-16D_V2_002011_20260728,NDVI
ZSTD_L05_P2,5,2,54.56,75.26,2.098,0.816,S2-16D_V2_002011_20260728,NDVI
