Algoritmo,ZLevel,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
DEFLATE_L5_P2,5,2,107.32,51.33,4.306,1.011,S2-16D_V2_002012_20260728,B04
DEFLATE_L6_P2,6,2,107.32,51.33,4.391,0.998,S2-16D_V2_002012_20260728,B04
DEFLATE_L7_P2,7,2,107.27,51.35,5.124,1.038,S2-16D_V2_002012_20260728,B04
DEFLATE_L8_P2,8,2,107.27,51.35,5.441,1.107,S2-16D_V2_002012_20260728,B04
DEFLATE_L9_P2,9,2,104.49,52.61,15.147,1.037,S2-16D_V2_002012_20260728,B04
RAW_SemComp,0,0,220.51,0.0,0.0,0.428,S2-16D_V2_001014_20260728,B03
DEFLATE_L1_P2,1,2,31.34,85.79,1.339,0.797,S2-16D_V2_001014_20260728,B03
DEFLATE_L2_P2,2,2,32.06,85.46,1.487,0.708,S2-16D_V2_001014_20260728,B03
DEFLATE_L3_P2,3,2,32.06,85.46,1.429,0.673,S2-16D_V2_001014_20260728,B03
DEFLATE_L5_P2,5,2,31.95,85.51,1.569,0.663,S2-16D_V2_001014_20260728,B03
DEFLATE_L6_P2,6,2,31.95,85.51,1.585,0.663,S2-16D_V2_001014_20260728,B03
DEFLATE_L7_P2,7,2,31.95,85.51,1.853,0.717,S2-16D_V2_001014_20260728,B03
DEFLATE_L8_P2,8,2,31.95,85.51,1.985,0.733,S2-16D_V2_001014_20260728,B03
DEFLATE_L9_P2,9,2,31.34,85.79,7.907,0.796,S2-16D_V2_001014_20260728,B03
RAW_SemComp,0,0,220.51,0.0,0.0,0.497,S2-16D_V2_002011_20260728,B01
DEFLATE_L1_P2,1,2,25.92,88.24,1.159,0.752,S2-16D_V2_002011_20260728,B01
DEFLATE_L2_P2,2,2,24.74,88.78,1.51,0.789,S2-16D_V2_002011_20260728,B01
DEFLATE_L3_P2,3,2,24.13,89.06,1.637,0.743,S2-16D_V2_002011_20260728,B01
DEFLATE_L5_P2,5,2,23.85,89.18,1.879,0.788,S2-16D_V2_002011_20260728,B01
DEFLATE_L6_P2,6,2,22.87,89.63,3.358,0.77,S2-16D_V2_002011_20260728,B01
DEFLATE_L7_P2,7,2,22.57,89.77,6.772,0.753,S2-16D_V2_002011_20260728,B01
DEFLATE_L8_P2,8,2,22.51,89.79,9.992,0.777,S2-16D_V2_002011_20260728,B01
