Algoritmo,Level,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
COG_DEFLATE_L8_P2,8,2,72.47,67.14,3.575,0.974,S2-16D_V2_002011_20260728,B07
COG_DEFLATE_L9_P2,9,2,71.01,67.8,8.054,2.533,S2-16D_V2_002011_20260728,B07
RAW_SemComp,0,0,220.51,0.0,0.0,1.528,S2-16D_V2_002011_20260728,NDVI
COG_DEFLATE_L1_P2,1,2,73.89,66.49,2.661,3.581,S2-16D_V2_002011_20260728,NDVI
COG_DEFLATE_L2_P2,2,2,75.93,65.57,4.845,2.554,S2-16D_V2_002011_20260728,NDVI
COG_DEFLATE_L3_P2,3,2,75.93,65.57,5.83,3.778,S2-16D_V2_002011_20260728,NDVI
COG_DEFLATE_L5_P2,5,2,76.24,65.42,9.108,1.697,S2-16D_V2_002011_20260728,NDVI
COG_DEFLATE_L6_P2,6,2,76.24,65.42,5.491,3.7,S2-16D_V2_002011_20260728,NDVI
COG_DEFLATE_L7_P2,7,2,76.22,65.44,7.137,3.292,S2-16D_V2_002011_20260728,NDVI
COG_DEFLATE_L8_P2,8,2,76.22,65.44,6.297,3.709,S2-16D_V2_002011_20260728,NDVI
COG_DEFLATE_L9_P2,9,2,74.29,66.31,8.711,1.034,S2-16D_V2_002011_20260728,NDVI
RAW_SemComp,0,0,220.51,0.0,0.0,2.812,S2-16D_V2_001014_20260728,NBR
COG_DEFLATE_L1_P2,1,2,46.39,78.96,4.691,3.191,S2-16D_V2_001014_20260728,NBR
COG_DEFLATE_L2_P2,2,2,47.8,78.33,6.604,2.711,S2-16D_V2_001014_20260728,NBR
COG_DEFLATE_L3_P2,3,2,47.8,78.33,3.507,1.383,S2-16D_V2_001014_20260728,NBR
COG_DEFLATE_L5_P2,5,2,47.94,78.26,3.588,0.838,S2-16D_V2_001014_20260728,NBR
COG_DEFLATE_L6_P2,6,2,47.94,78.26,1.484,1.123,S2-16D_V2_001014_20260728,NBR
COG_DEFLATE_L7_P2,7,2,47.91,78.27,4.088,0.797,S2-16D_V2_001014_20260728,NBR
COG_DEFLATE_L8_P2,8,2,47.91,78.27,2.871,2.711,S2-16D_V2_001014_20260728,NBR
COG_DEFLATE_L9_P2,9,2,46.86,78.75,8.833,0.781,S2-16D_V2_001014_20260728,NBR
RAW_SemComp,0,0,220.51,0.0,0.0,1.199,S2-16D_V2_001014_20260728,B06
COG_DEFLATE_L1_P2,1,2,46.03,79.12,4.073,2.75,S2-16D_V2_001014_20260728,B06
COG_DEFLATE_L2_P2,2,2,47.47,78.48,4.878,2.179,S2-16D_V2_001014_20260728,B06
COG_DEFLATE_L3_P2,3,2,47.47,78.47,5.21,2.98,S2-16D_V2_001014_20260728,B06
COG_DEFLATE_L5_P2,5,2,47.61,78.41,5.756,0.758,S2-16D_V2_001014_20260728,B06
COG_DEFLATE_L6_P2,6,2,47.61,78.41,2.715,1.284,S2-16D_V2_001014_20260728,B06
COG_DEFLATE_L7_P2,7,2,47.59,78.42,4.505,1.827,S2-16D_V2_001014_20260728,B06
COG_DEFLATE_L8_P2,8,2,47.59,78.42,4.096,1.375,S2-16D_V2_001014_20260728,B06
